,Unnamed: 0,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch.1,train_samples,training_time,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch.2,epoch.3,eval_matthews_correlation,eval_f1,eval_combined_score
2,2,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,mam_adapter,591.2837,159.433,19.94,4002715904563200.0,0.5861176598365272,10.0,10.0,9427,591.5827748775482,0.7330285906791687,0.6700305810397553,8.1265,402.385,50.329,10.0,10.0,,,
3,3,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,compacter_plusplus,478.8471,196.869,24.622,3168041638164480.0,0.6354252654278653,10.0,10.0,9427,479.14155745506287,0.6314986944198608,0.6483180428134556,6.9394,471.22,58.939,10.0,10.0,,,
4,4,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,unipelt,684.0314,137.815,17.236,3582194357913600.0,0.5556112689017441,10.0,10.0,9427,684.3320462703705,0.6125310063362122,0.7048929663608563,9.1088,358.992,44.901,10.0,10.0,,,
5,5,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,lora,459.2501,205.269,25.672,3177680599357440.0,0.600460895670987,10.0,10.0,9427,459.5615997314453,0.6017630100250244,0.674617737003058,6.677,489.744,61.255,10.0,10.0,,,
6,6,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,seq_bn_16_2_relu,519.0997,181.603,22.712,3456104211732480.0,0.48393654859703,10.0,10.0,9427,519.4061470031738,0.7722434997558594,0.7033639143730887,7.3647,444.013,55.536,10.0,10.0,,,
7,7,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,seq_bn_16_2_tanh,516.5896,182.485,22.823,3456104211732480.0,0.4234210065302958,10.0,10.0,9427,516.9065487384796,1.1332437992095947,0.7039755351681957,7.1537,457.105,57.173,10.0,10.0,,,
8,8,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,ia3,470.8092,200.23,25.042,3169006576834560.0,0.6337568106744328,10.0,10.0,9427,471.1072964668274,0.6298509836196899,0.6498470948012233,6.8355,478.385,59.835,10.0,10.0,,,
9,9,saad,2024-07-24 02:33:36.498251,distilbert/distilbert-base-uncased,super_glue,boolq,True,prompt_tuning,500.9321,188.189,23.536,3167004879329280.0,0.6391656488963767,10.0,10.0,9427,501.244571685791,0.6390764713287354,0.6382262996941896,7.2854,448.841,56.139,10.0,10.0,,,
0,0,saad,2024-07-24 02:49:06.355634,distilbert/distilbert-base-uncased,super_glue,boolq,False,,801.619,117.6,14.708,3121925417825280.0,0.2551634975365403,10.0,10.0,9427,802.119954586029,2.305290699005127,0.6987767584097859,6.404,510.617,63.866,10.0,10.0,,,
0,0,saad,2024-07-24 03:17:12.769438,google/electra-base-discriminator,super_glue,boolq,False,,1580.7402,59.637,7.459,6200869797196800.0,0.6640654404553648,10.0,10.0,9427,1581.043189048767,0.6634249091148376,0.6217125382262997,12.1584,268.95,33.639,10.0,10.0,,,
0,0,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,seq_bn,984.4256,95.761,11.977,6330396306600960.0,0.4912604230859706,10.0,10.0,9427,984.7217528820038,0.5344648361206055,0.7853211009174312,14.0246,233.161,29.163,10.0,10.0,,,
1,1,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,prefix_tuning,959.3179,98.268,12.29,6240903747302400.0,0.6597684774487781,10.0,10.0,9427,959.6166565418245,0.6531965136528015,0.6235474006116208,13.8808,235.578,29.465,10.0,10.0,,,
2,2,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,mam_adapter,1167.5732,80.74,10.098,7827751761392640.0,0.6667222868294105,10.0,10.0,9427,1167.8711051940918,0.6518787741661072,0.6226299694189602,15.4422,211.757,26.486,10.0,10.0,,,
3,3,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,compacter_plusplus,942.9851,99.97,12.503,6202938681308160.0,0.6536927874357241,10.0,10.0,9427,943.2861008644104,0.646579921245575,0.6278287461773701,13.2879,246.088,30.78,10.0,10.0,,,
4,4,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,unipelt,1298.1234,72.62,9.082,7002743099151360.0,0.4676892255503207,10.0,10.0,9427,1298.4283230304718,0.5824056267738342,0.7862385321100918,16.8757,193.77,24.236,10.0,10.0,,,
5,5,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,lora,919.9045,102.478,12.817,6222221237253120.0,0.5707149282363232,10.0,10.0,9427,920.2241249084472,0.5322040319442749,0.7373088685015291,13.5553,241.233,30.173,10.0,10.0,,,
6,6,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,seq_bn_16_2_relu,1047.5572,89.99,11.255,6779068462003200.0,0.3791853188861721,10.0,10.0,9427,1047.867564678192,0.8320485949516296,0.8012232415902141,14.3475,227.914,28.507,10.0,10.0,,,
7,7,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,seq_bn_16_2_tanh,1046.4209,90.088,11.267,6779068462003200.0,0.2863495597807,10.0,10.0,9427,1046.7245485782623,1.144849181175232,0.7914373088685015,14.5804,224.274,28.051,10.0,10.0,,,
8,8,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,ia3,959.0158,98.299,12.294,6204873192207360.0,0.6522370704864424,10.0,10.0,9427,959.3238346576692,0.6445143818855286,0.6324159021406728,13.788,237.163,29.663,10.0,10.0,,,
9,9,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,prompt_tuning,984.9577,95.71,11.97,6200869797196800.0,0.6575484336484176,10.0,10.0,9427,985.2669246196748,0.645385205745697,0.6302752293577981,13.9658,234.144,29.286,10.0,10.0,,,
0,0,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,seq_bn,1124.325,83.846,10.486,7357378332226560.0,0.5912451358241889,10.0,10.0,9427,1124.6245985031128,0.6306383609771729,0.6568807339449542,17.6634,185.129,23.155,10.0,10.0,,,
1,1,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,prefix_tuning,1110.9808,84.853,10.612,7287902747980800.0,0.6464754656273193,10.0,10.0,9427,1111.2989628314972,0.6483761072158813,0.6287461773700306,18.2694,178.988,22.387,10.0,10.0,,,
2,2,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,mam_adapter,1397.1385,67.474,8.439,9478267193472000.0,0.6686549166484441,10.0,10.0,9427,1397.5077843666077,0.6631553769111633,0.6217125382262997,19.8354,164.857,20.62,10.0,10.0,,,
3,3,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,compacter_plusplus,1092.6232,86.279,10.791,7229920706933760.0,0.6340194740974873,10.0,10.0,9427,1092.9739820957184,0.6549409627914429,0.6324159021406728,17.5942,185.857,23.246,10.0,10.0,,,
4,4,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,unipelt,1718.4735,54.857,6.861,8440704580577280.0,0.5636053782585215,10.0,10.0,9427,1718.8099703788755,0.5691967606544495,0.7217125382262997,23.5209,139.025,17.389,10.0,10.0,,,
5,5,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,lora,1115.7907,84.487,10.566,7259878982906880.0,0.608753714913327,10.0,10.0,9427,1116.135754108429,0.6326497197151184,0.6483180428134556,17.6528,185.239,23.169,10.0,10.0,,,
